id_transformador,data_amostragem,condicao_operacao,gas,valor_ppm
TR02,2023-02-14,Normal,Etano,0.0
TR02,2022-07-01,Normal,Etano,1.0
TR02,2021-07-24,Normal,Etano,0.0
TR02,2020-08-31,Normal,Etano,0.0
TR02,2019-12-12,Normal,Etano,0.0
TR02,2019-04-03,Normal,Etano,0.0
TR02,2019-01-17,Normal,Etano,0.0
TR02,2018-03-15,Normal,Etano,0.0
TR02,2026-02-19,Normal,Etileno,2.0
TR02,2025-07-30,Normal,Etileno,1.0
TR02,2024-12-30,Normal,Etileno,0.0
TR02,2024-07-01,Normal,Etileno,0.0
TR02,2023-02-14,Normal,Etileno,1.0
TR02,2022-07-01,Normal,Etileno,1.0
TR02,2021-07-24,Normal,Etileno,0.0
TR02,2020-08-31,Normal,Etileno,0.0
TR02,2019-12-12,Normal,Etileno,0.0
TR02,2019-04-03,Normal,Etileno,1.0
TR02,2019-01-17,Normal,Etileno,0.0
TR02,2018-03-15,Normal,Etileno,0.0
TR02,2026-02-19,Normal,Hidrogênio,2.0
TR02,2025-07-30,Normal,Hidrogênio,4.0
TR02,2024-12-30,Normal,Hidrogênio,10.0
TR02,2024-07-01,Normal,Hidrogênio,23.0
TR02,2023-02-14,Normal,Hidrogênio,17.0
TR02,2022-07-01,Normal,Hidrogênio,9.0
TR02,2021-07-24,Normal,Hidrogênio,0.0
TR02,2020-08-31,Normal,Hidrogênio,7.0
TR02,2019-12-12,Normal,Hidrogênio,9.0
TR02,2019-04-03,Normal,Hidrogênio,0.0
TR02,2019-01-17,Normal,Hidrogênio,61.0
TR02,2018-03-15,Normal,Hidrogênio,7.0
TR02,2026-02-19,Normal,Metano,11.0
TR02,2025-07-30,Normal,Metano,4.0
TR02,2024-12-30,Normal,Metano,5.0
TR02,2024-07-01,Normal,Metano,6.0
TR02,2023-02-14,Normal,Metano,6.0
TR02,2022-07-01,Normal,Metano,7.0
TR02,2021-07-24,Normal,Metano,4.0
TR02,2020-08-31,Normal,Metano,2.0
TR02,2019-12-12,Normal,Metano,1.0
TR02,2019-04-03,Normal,Metano,0.0
TR02,2019-01-17,Normal,Metano,1.0
TR02,2018-03-15,Normal,Metano,1.0
TR02,2026-02-19,Normal,Monóxido de Carbono,1470.0
TR02,2025-07-30,Normal,Monóxido de Carbono,1374.0
TR02,2024-12-30,Normal,Monóxido de Carbono,1404.0
TR02,2024-07-01,Normal,Monóxido de Carbono,1838.0
TR02,2023-02-14,Normal,Monóxido de Carbono,642.0
TR02,2022-07-01,Normal,Monóxido de Carbono,756.0
TR02,2021-07-24,Normal,Monóxido de Carbono,488.0
TR02,2020-08-31,Normal,Monóxido de Carbono,571.0
TR02,2019-12-12,Normal,Monóxido de Carbono,146.0
TR02,2019-04-03,Normal,Monóxido de Carbono,177.0
TR02,2019-01-17,Normal,Monóxido de Carbono,67.0
TR02,2018-03-15,Normal,Monóxido de Carbono,94.0
TR03,2022-11-09,Normal,Acetileno,0.0
TR03,2023-04-15,Normal,Acetileno,0.0
